Category, Sink ID, Process ID, Thread ID, Time (Ticks), Text
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342892323971,"m_applicationFocusAppId = 0xb0c0101
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342892350829,"m_controllerFocusAppId = 0xb0c0101
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342892375282,"-------App List Dump Start------
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342892408711,"[appId = 0xb0c0000, titleId = NPXS20000]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342892431769,"	[pid = 0x28, appLocalPid = 0x10000010, elfPath = ]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342892454409,"[appId = 0xb0c0101, titleId = NPXS20001]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342892484117,"	[pid = 0x2e, appLocalPid = 0x10101020, elfPath = /app0/eboot.bin]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342892510463,"	[pid = 0x2f, appLocalPid = 0x10101031, elfPath = /OuXYTCAdRt/common/lib/MonoCompiler.elf]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342892534527,"	[pid = 0x62, appLocalPid = 0x10101312, elfPath = /OuXYTCAdRt/common/lib/SecureUIProcess.self]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342892627696,"	[pid = 0x63, appLocalPid = 0x10101323, elfPath = /OuXYTCAdRt/common/lib/SecureWebProcess.self]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342892657797,"	[pid = 0x64, appLocalPid = 0x10101334, elfPath = /OuXYTCAdRt/common/lib/orbis-jsc-compiler.self]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342892730288,"[appId = 0xb0c0202, titleId = NPXS21003]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342892807293,"	[pid = 0x30, appLocalPid = 0x10202040, elfPath = /app0/eboot.bin]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342892966163,"[appId = 0xb0c0303, titleId = NPXS21000]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342893094022,"	[pid = 0x31, appLocalPid = 0x10303050, elfPath = /app0/eboot.bin]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342893125921,"[appId = 0xb0c0404, titleId = NPXS21002]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342893235439,"	[pid = 0x32, appLocalPid = 0x10404060, elfPath = /app0/eboot.bin]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342893344337,"[appId = 0xb0c0505, titleId = NPXS21004]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342893457969,"	[pid = 0x33, appLocalPid = 0x10505070, elfPath = /app0/eboot.bin]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342893568968,"[appId = 0xb0c0606, titleId = NPXS21006]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342893722447,"	[pid = 0x34, appLocalPid = 0x10606080, elfPath = /app0/eboot.bin]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342893755739,"[appId = 0xb0c0707, titleId = NPXS21019]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342893779094,"	[pid = 0x35, appLocalPid = 0x10707090, elfPath = /app0/eboot.bin]
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342893851187,"-------App List Dump End------
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342893925813,"-------Syscore Event Dump Start------
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342894065083,"-------Syscore Event Dump End------
"
PROCESS_OUTPUT,STREAM_STDIO,40,100383,3343433399200,"[SceShellCore] Main thread has frozen in sceApplicationSignalShellCoreHeartBeat() for 2 seconds
"
PROCESS_OUTPUT,STREAM_STDIO,37,100143,3344393276490,"[Syscore App] Add event : pid=0x65
"
PROCESS_OUTPUT,STREAM_STDIO,37,100143,3344394175142,"[AppMgr Trace]: New Process, pid=0x65, created.
"
PROCESS_OUTPUT,STREAM_STDIO,37,100143,3344395470160,"[AppMgr Trace]: New App, appId=0xb0c0f08, created
"
